,Players,Values,links
564,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
565,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
566,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
567,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
568,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
569,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
570,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
571,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
572,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
573,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
574,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
575,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
576,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
577,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
578,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
579,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
580,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
581,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
582,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
583,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
584,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
585,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
586,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
587,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
588,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
589,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
590,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
591,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
592,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
593,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
594,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
595,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
596,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
597,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
598,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
599,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
