,Players,Values,links
196,Lisandro López,£21.60m,https://www.transfermarkt.com/lisandro-lopez/profil/spieler/27661
197,Robbie Keane,£21.60m,https://www.transfermarkt.com/robbie-keane/profil/spieler/3144
198,Jô,£21.60m,https://www.transfermarkt.com/jotm/profil/spieler/34156
199,Thierry Henry,£21.60m,https://www.transfermarkt.com/thierry-henry/profil/spieler/3207
200,Alexandre Pato,£21.60m,https://www.transfermarkt.com/alexandre-pato/profil/spieler/37579
201,Robinho,£21.60m,https://www.transfermarkt.com/robinho/profil/spieler/15511
202,Andriy Shevchenko,£21.52m,https://www.transfermarkt.com/andriy-shevchenko/profil/spieler/3522
203,Mario Mandzukic,£21.06m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
204,Adriano,£21.06m,https://www.transfermarkt.com/adriano/profil/spieler/5876
205,Hakan Calhanoglu,£20.97m,https://www.transfermarkt.com/hakan-calhanoglu/profil/spieler/126414
206,Odion Ighalo,£20.97m,https://www.transfermarkt.com/odion-ighalo/profil/spieler/62121
207,David Trézéguet,£20.92m,https://www.transfermarkt.com/david-trezeguet/profil/spieler/4146
208,Ferran Torres,£20.70m,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184
209,Paco Alcácer,£20.70m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
210,Rafael Leão,£20.70m,https://www.transfermarkt.com/rafael-leao/profil/spieler/357164
211,Alassane Plea,£20.70m,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329
212,Marko Pjaca,£20.70m,https://www.transfermarkt.com/marko-pjaca/profil/spieler/205940
213,Sadio Mané,£20.70m,https://www.transfermarkt.com/sadio-mane/profil/spieler/200512
214,Claudio López,£20.70m,https://www.transfermarkt.com/claudio-lopez/profil/spieler/3418
215,André Ayew,£20.52m,https://www.transfermarkt.com/andre-ayew/profil/spieler/45403
216,Amauri,£20.52m,https://www.transfermarkt.com/amauri/profil/spieler/6234
217,Raúl de Tomás,£20.25m,https://www.transfermarkt.com/raul-de-tomas/profil/spieler/162038
218,Gelson Martins,£20.25m,https://www.transfermarkt.com/gelson-martins/profil/spieler/257448
219,Nikola Kalinic,£20.25m,https://www.transfermarkt.com/nikola-kalinic/profil/spieler/36371
220,Theo Walcott,£20.25m,https://www.transfermarkt.com/theo-walcott/profil/spieler/33713
221,Cenk Tosun,£20.25m,https://www.transfermarkt.com/cenk-tosun/profil/spieler/45671
222,Jimmy Floyd Hasselbaink,£20.25m,https://www.transfermarkt.com/jimmy-floyd-hasselbaink/profil/spieler/3175
223,Victor Osimhen,£20.16m,https://www.transfermarkt.com/victor-osimhen/profil/spieler/401923
224,Marko Arnautovic,£20.07m,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384
225,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
226,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
227,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
228,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
229,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
230,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
231,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
232,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
233,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
234,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
235,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
236,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
237,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
238,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
239,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
240,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
241,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
242,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
243,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
244,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
245,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
246,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
247,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
248,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
249,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
250,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
251,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
252,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
253,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
254,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
255,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
256,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
257,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
258,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
259,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
260,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
261,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
262,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
263,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
264,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
265,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
266,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
267,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
268,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
269,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
270,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
271,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
272,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
273,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
274,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
275,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
276,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
277,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
278,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
279,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
280,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
281,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
282,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
283,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
284,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
285,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
286,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
287,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
288,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
289,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
290,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
291,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
292,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
293,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
294,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
295,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
296,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
297,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
298,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
299,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
300,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
301,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
302,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
303,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
304,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
305,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
306,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
307,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
308,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
309,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
310,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
311,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
312,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
313,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
314,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
315,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
316,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
317,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
318,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
319,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
320,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
321,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
322,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
323,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
324,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
325,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
326,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
327,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
328,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
329,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
330,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
331,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
332,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
333,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
334,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
335,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
336,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
337,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
338,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
339,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
340,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
341,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
342,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
343,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
344,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
345,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
346,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
347,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
348,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
349,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
350,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
351,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
352,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
353,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
354,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
355,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
356,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
357,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
358,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
359,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
360,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
361,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
362,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
363,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
364,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
365,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
366,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
367,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
368,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
369,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
370,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
371,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
372,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
373,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
374,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
375,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
376,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
377,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
378,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
379,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
380,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
381,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
382,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
383,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
384,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
385,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
386,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
387,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
388,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
389,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
390,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
391,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
392,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
393,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
394,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
395,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
396,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
397,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
398,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
399,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
400,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
401,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
402,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
403,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
404,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
405,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
406,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
407,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
408,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
409,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
410,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
411,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
412,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
413,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
414,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
415,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
416,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
417,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
418,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
419,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
420,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
421,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
422,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
423,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
424,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
425,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
426,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
427,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
428,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
429,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
430,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
431,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
432,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
433,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
434,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
435,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
436,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
437,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
438,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
439,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
440,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
441,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
442,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
443,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
444,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
445,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
446,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
447,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
448,Raphinha,£18.90m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
449,Kingsley Coman,£18.90m,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714
450,Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
451,Patrick Cutrone,£19.80m,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078
452,Neal Maupay,£19.80m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
453,Moussa Dembélé,£19.80m,https://www.transfermarkt.com/moussa-dembele/profil/spieler/229004
454,Guido Carrillo,£19.80m,https://www.transfermarkt.com/guido-carrillo/profil/spieler/184672
455,Vincent Janssen,£19.80m,https://www.transfermarkt.com/vincent-janssen/profil/spieler/207015
456,Raúl Jiménez,£19.80m,https://www.transfermarkt.com/raul-jimenez/profil/spieler/206040
457,Mario Mandzukic,£19.80m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
458,André Schürrle,£19.80m,https://www.transfermarkt.com/andre-schurrle/profil/spieler/58205
459,Sergio Agüero,£19.53m,https://www.transfermarkt.com/sergio-aguero/profil/spieler/26399
460,Mariano Díaz,£19.35m,https://www.transfermarkt.com/mariano-diaz/profil/spieler/225020
461,Darren Bent,£19.35m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
462,Jarrod Bowen,£19.17m,https://www.transfermarkt.com/jarrod-bowen/profil/spieler/314875
463,Samu Castillejo,£19.17m,https://www.transfermarkt.com/samu-castillejo/profil/spieler/195171
464,Lucas,£19.17m,https://www.transfermarkt.com/lucas/profil/spieler/8517
465,Dominic Solanke,£19.08m,https://www.transfermarkt.com/dominic-solanke/profil/spieler/258889
466,Roque Santa Cruz,£19.08m,https://www.transfermarkt.com/roque-santa-cruz/profil/spieler/215
467,Matteo Politano,£18.99m,https://www.transfermarkt.com/matteo-politano/profil/spieler/165895
468,Elvir Baljic,£18.90m,https://www.transfermarkt.com/elvir-baljic/profil/spieler/6900
469,Nicola Ventola,£18.90m,https://www.transfermarkt.com/nicola-ventola/profil/spieler/5798
470,Alan Shearer,£18.90m,https://www.transfermarkt.com/alan-shearer/profil/spieler/3110
471,Suso,£18.90m,https://www.transfermarkt.com/suso/profil/spieler/111961
472,Paco Alcácer,£18.90m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
