Players,values,links
Heung-min Son,£27.00m,https://www.transfermarkt.com/heung-min-son/profil/spieler/91845
Roberto Soldado,£27.00m,https://www.transfermarkt.com/roberto-soldado/profil/spieler/34870
Erik Lamela,£27.00m,https://www.transfermarkt.com/erik-lamela/profil/spieler/111630
Ezequiel Lavezzi,£27.00m,https://www.transfermarkt.com/ezequiel-lavezzi/profil/spieler/50570
Mario Gómez,£27.00m,https://www.transfermarkt.com/mario-gomez/profil/spieler/6288
Franck Ribéry,£27.00m,https://www.transfermarkt.com/franck-ribery/profil/spieler/22068
Gabriel Barbosa,£26.55m,https://www.transfermarkt.com/gabriel-barbosa/profil/spieler/244275
Mario Balotelli,£26.55m,https://www.transfermarkt.com/mario-balotelli/profil/spieler/45146
Dimitri Payet,£26.37m,https://www.transfermarkt.com/dimitri-payet/profil/spieler/37647
Anthony Modeste,£26.10m,https://www.transfermarkt.com/anthony-modeste/profil/spieler/50512
Emmanuel Adebayor,£26.10m,https://www.transfermarkt.com/emmanuel-adebayor/profil/spieler/8883
Carlos Tevez,£26.10m,https://www.transfermarkt.com/carlos-tevez/profil/spieler/4276
Yannick Bolasie,£26.01m,https://www.transfermarkt.com/yannick-bolasie/profil/spieler/75471
Ruud van Nistelrooy,£25.65m,https://www.transfermarkt.com/ruud-van-nistelrooy/profil/spieler/3407
Christian Vieri,£25.56m,https://www.transfermarkt.com/christian-vieri/profil/spieler/5797
Lucas Moura,£25.56m,https://www.transfermarkt.com/lucas-moura/profil/spieler/77100
Márcio Amoroso,£25.20m,https://www.transfermarkt.com/marcio-amoroso/profil/spieler/1263
Ronaldo,£25.20m,https://www.transfermarkt.com/ronaldo/profil/spieler/3140
Borja Iglesias,£25.20m,https://www.transfermarkt.com/borja-iglesias/profil/spieler/278359
Álvaro Negredo,£25.20m,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644
Diego Milito,£25.20m,https://www.transfermarkt.com/diego-milito/profil/spieler/22202
Kelechi Iheanacho,£24.93m,https://www.transfermarkt.com/kelechi-iheanacho/profil/spieler/295330
Moise Kean,£24.75m,https://www.transfermarkt.com/moise-kean/profil/spieler/364135
Jonathan David,£24.30m,https://www.transfermarkt.com/jonathan-david/profil/spieler/533738
Yannick Carrasco,£24.30m,https://www.transfermarkt.com/yannick-carrasco/profil/spieler/140776
Pedro,£24.30m,https://www.transfermarkt.com/pedro/profil/spieler/65278
Samuel Eto'o,£24.30m,https://www.transfermarkt.com/samuel-etoo/profil/spieler/4257
Klaas-Jan Huntelaar,£24.30m,https://www.transfermarkt.com/klaas-jan-huntelaar/profil/spieler/4357
Samuel Eto'o,£24.30m,https://www.transfermarkt.com/samuel-etoo/profil/spieler/4257
Patrik Schick,£23.85m,https://www.transfermarkt.com/patrik-schick/profil/spieler/242086
Breel Embolo,£23.85m,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662
Luis Suárez,£23.85m,https://www.transfermarkt.com/luis-suarez/profil/spieler/44352
Jérémy Doku,£23.40m,https://www.transfermarkt.com/jeremy-doku/profil/spieler/486049
Rhian Brewster,£23.40m,https://www.transfermarkt.com/rhian-brewster/profil/spieler/406560
Stevan Jovetic,£23.40m,https://www.transfermarkt.com/stevan-jovetic/profil/spieler/46104
Alexis Sánchez,£23.40m,https://www.transfermarkt.com/alexis-sanchez/profil/spieler/40433
Hernán Crespo,£23.40m,https://www.transfermarkt.com/hernan-crespo/profil/spieler/3410
Vincenzo Montella,£23.24m,https://www.transfermarkt.com/vincenzo-montella/profil/spieler/5960
Thorgan Hazard,£22.95m,https://www.transfermarkt.com/thorgan-hazard/profil/spieler/102226
Nani,£22.95m,https://www.transfermarkt.com/nani/profil/spieler/33706
Márcio Amoroso,£22.95m,https://www.transfermarkt.com/marcio-amoroso/profil/spieler/1263
Marko Arnautovic,£22.50m,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384
Rony Lopes,£22.50m,https://www.transfermarkt.com/rony-lopes/profil/spieler/174694
Wesley,£22.50m,https://www.transfermarkt.com/wesley/profil/spieler/381362
Lautaro Martínez,£22.50m,https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625
Andriy Yarmolenko,£22.50m,https://www.transfermarkt.com/andriy-yarmolenko/profil/spieler/69015
Jesé,£22.50m,https://www.transfermarkt.com/jese/profil/spieler/134936
Lazar Markovic,£22.50m,https://www.transfermarkt.com/lazar-markovic/profil/spieler/144303
Álvaro Negredo,£22.50m,https://www.transfermarkt.com/alvaro-negredo/profil/spieler/18644
Bernard,£22.50m,https://www.transfermarkt.com/bernard/profil/spieler/175169
Arjen Robben,£22.50m,https://www.transfermarkt.com/arjen-robben/profil/spieler/4360
Joaquín,£22.50m,https://www.transfermarkt.com/joaquin/profil/spieler/7663
Michael Owen,£22.50m,https://www.transfermarkt.com/michael-owen/profil/spieler/1397
Alberto Gilardino,£22.50m,https://www.transfermarkt.com/alberto-gilardino/profil/spieler/5878
Marcelo Salas,£22.50m,https://www.transfermarkt.com/marcelo-salas/profil/spieler/3415
Savo Milosevic,£22.50m,https://www.transfermarkt.com/savo-milosevic/profil/spieler/7896
Zlatan Ibrahimovic,£22.32m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
Darren Bent,£22.28m,https://www.transfermarkt.com/darren-bent/profil/spieler/13239
Aleksandar Mitrovic,£22.23m,https://www.transfermarkt.com/aleksandar-mitrovic/profil/spieler/51152
Ricardo Quaresma,£22.14m,https://www.transfermarkt.com/ricardo-quaresma/profil/spieler/4188
Luis Muriel,£22.05m,https://www.transfermarkt.com/luis-muriel/profil/spieler/119228
Juan Iturbe,£22.05m,https://www.transfermarkt.com/juan-iturbe/profil/spieler/81455
André Ayew,£21.69m,https://www.transfermarkt.com/andre-ayew/profil/spieler/45403
Darwin Núñez,£21.60m,https://www.transfermarkt.com/darwin-nunez/profil/spieler/546543
Krzysztof Piatek,£21.60m,https://www.transfermarkt.com/krzysztof-piatek/profil/spieler/327757
Lucas Alario,£21.60m,https://www.transfermarkt.com/lucas-alario/profil/spieler/193782
Zlatan Ibrahimovic,£21.60m,https://www.transfermarkt.com/zlatan-ibrahimovic/profil/spieler/3455
Lisandro López,£21.60m,https://www.transfermarkt.com/lisandro-lopez/profil/spieler/27661
Robbie Keane,£21.60m,https://www.transfermarkt.com/robbie-keane/profil/spieler/3144
Jô,£21.60m,https://www.transfermarkt.com/jotm/profil/spieler/34156
Thierry Henry,£21.60m,https://www.transfermarkt.com/thierry-henry/profil/spieler/3207
Alexandre Pato,£21.60m,https://www.transfermarkt.com/alexandre-pato/profil/spieler/37579
Robinho,£21.60m,https://www.transfermarkt.com/robinho/profil/spieler/15511
Andriy Shevchenko,£21.52m,https://www.transfermarkt.com/andriy-shevchenko/profil/spieler/3522
Mario Mandzukic,£21.06m,https://www.transfermarkt.com/mario-mandzukic/profil/spieler/34572
Adriano,£21.06m,https://www.transfermarkt.com/adriano/profil/spieler/5876
Odion Ighalo,£20.97m,https://www.transfermarkt.com/odion-ighalo/profil/spieler/62121
David Trézéguet,£20.92m,https://www.transfermarkt.com/david-trezeguet/profil/spieler/4146
Saïd Benrahma,£20.79m,https://www.transfermarkt.com/said-benrahma/profil/spieler/290532
Ferran Torres,£20.70m,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184
Paco Alcácer,£20.70m,https://www.transfermarkt.com/paco-alcacer/profil/spieler/126716
Rafael Leão,£20.70m,https://www.transfermarkt.com/rafael-leao/profil/spieler/357164
Alassane Plea,£20.70m,https://www.transfermarkt.com/alassane-plea/profil/spieler/167329
Marko Pjaca,£20.70m,https://www.transfermarkt.com/marko-pjaca/profil/spieler/205940
Sadio Mané,£20.70m,https://www.transfermarkt.com/sadio-mane/profil/spieler/200512
Claudio López,£20.70m,https://www.transfermarkt.com/claudio-lopez/profil/spieler/3418
André Ayew,£20.52m,https://www.transfermarkt.com/andre-ayew/profil/spieler/45403
Amauri,£20.52m,https://www.transfermarkt.com/amauri/profil/spieler/6234
Raúl de Tomás,£20.25m,https://www.transfermarkt.com/raul-de-tomas/profil/spieler/162038
Nikola Kalinic,£20.25m,https://www.transfermarkt.com/nikola-kalinic/profil/spieler/36371
Theo Walcott,£20.25m,https://www.transfermarkt.com/theo-walcott/profil/spieler/33713
Cenk Tosun,£20.25m,https://www.transfermarkt.com/cenk-tosun/profil/spieler/45671
Jimmy Floyd Hasselbaink,£20.25m,https://www.transfermarkt.com/jimmy-floyd-hasselbaink/profil/spieler/3175
Victor Osimhen,£20.16m,https://www.transfermarkt.com/victor-osimhen/profil/spieler/401923
Luka Jovic,£20.10m,https://www.transfermarkt.com/luka-jovic/profil/spieler/257462
Marko Arnautovic,£20.07m,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384
Callum Wilson,£20.03m,https://www.transfermarkt.com/callum-wilson/profil/spieler/123682
Neal Maupay,£20.00m,https://www.transfermarkt.com/neal-maupay/profil/spieler/217115
Danny Ings,£19.98m,https://www.transfermarkt.com/danny-ings/profil/spieler/134294
